benchmark	ns_per_op	bytes_per_op	allocs_per_op
BenchmarkBuildIndex_1k-8	155458180	48991781	603164
BenchmarkBuildIndex_5k-8	797402053	226871316	2761116
BenchmarkBuildIndex_10k-8	2054451581	444252256	5370148
BenchmarkAndQuery-8	1971966	1608208	9862
BenchmarkOrQuery-8	4027353	1815864	24789
BenchmarkNotQuery-8	128606	17560	21
BenchmarkAdjQuery-8	922650	286168	1861
BenchmarkNearQuery-8	2166618	1255616	7765
BenchmarkBM25TopK-8	4623131	9608	163
BenchmarkCompressionEncode-8	937424	107000	403
BenchmarkCompressionDecode-8	231001	186976	170
BenchmarkMmapTermLookup-8	3872698	1205761	25988
