docs,query,operator_type,memory_latency_ms,memory_latency_ci_low_ms,memory_latency_ci_high_ms,mmap_latency_ms,mmap_latency_ci_low_ms,mmap_latency_ci_high_ms,mmap_to_memory_ratio,memory_hits,mmap_hits,results_equal
25000,17th ADJ century,ADJ,0.7242,0.6516,0.7968,8.9298,8.8294,9.0302,12.3306,2009,2009,true
25000,18th ADJ century,ADJ,0.7768,0.7488,0.8048,9.2024,9.1250,9.2798,11.8465,2475,2475,true
25000,19th ADJ century,ADJ,1.2004,1.1624,1.2384,10.4442,10.3808,10.5076,8.7006,4821,4821,true
25000,20th ADJ century,ADJ,1.3322,1.2368,1.4276,10.8540,10.7090,10.9990,8.1474,5900,5900,true
25000,21st ADJ century,ADJ,0.6744,0.5792,0.7696,8.9846,8.8454,9.1238,13.3224,2316,2316,true
25000,align ADJ center,ADJ,3.4394,3.3437,3.5351,13.8598,13.5832,14.1364,4.0297,2928,2928,true
25000,best ADJ known,ADJ,0.6500,0.6206,0.6794,10.6906,10.6062,10.7750,16.4471,2016,2016,true
25000,birth ADJ date,ADJ,0.5664,0.5584,0.5744,6.7842,6.7195,6.8489,11.9778,3437,3437,true
25000,birth ADJ name,ADJ,0.4756,0.4587,0.4925,8.7166,8.5112,8.9220,18.3276,2010,2010,true
25000,birth ADJ place,ADJ,0.6500,0.6035,0.6965,12.8234,7.5638,18.0830,19.7283,3330,3330,true
25000,births ADJ category,ADJ,1.9518,1.7592,2.1444,21.9524,11.1710,32.7338,11.2473,3581,3581,true
25000,category ADJ 20th,ADJ,1.7572,1.4595,2.0549,13.5494,13.1568,13.9420,7.7108,1950,1950,true
25000,category ADJ people,ADJ,2.1010,1.8682,2.3338,17.8442,17.6598,18.0286,8.4932,2586,2586,true
25000,class ADJ wikitable,ADJ,0.8818,0.8423,0.9213,8.2642,8.0700,8.4584,9.3720,5796,5796,true
25000,date ADJ birth,ADJ,0.6198,0.4770,0.7626,6.9646,6.6719,7.2573,11.2369,2639,2639,true
25000,date ADJ death,ADJ,0.6872,0.5846,0.7898,8.8014,8.7016,8.9012,12.8076,2371,2371,true
25000,death ADJ date,ADJ,0.7628,0.6690,0.8566,8.9132,8.8562,8.9702,11.6848,2976,2976,true
25000,death ADJ place,ADJ,0.7912,0.7008,0.8816,9.4882,9.4050,9.5714,11.9922,2890,2890,true
25000,deaths ADJ category,ADJ,0.9076,0.7893,1.0259,11.9664,11.8017,12.1311,13.1847,3017,3017,true
25000,each ADJ other,ADJ,1.5452,1.4580,1.6324,17.2304,17.1222,17.3386,11.1509,3809,3809,true
25000,even ADJ though,ADJ,0.6516,0.6344,0.6688,8.1726,8.0554,8.2898,12.5424,2274,2274,true
25000,female ADJ scientists,ADJ,0.0874,0.0769,0.0979,3.0598,2.9784,3.1412,35.0092,3,3,true
25000,feminist ADJ movement,ADJ,0.0944,0.0784,0.1104,3.3758,3.3132,3.4384,35.7606,55,55,true
25000,first ADJ time,ADJ,2.3950,2.3506,2.4394,23.1710,21.7948,24.5472,9.6747,3615,3615,true
25000,many ADJ other,ADJ,1.6928,1.6661,1.7195,19.8908,19.7946,19.9870,11.7502,2466,2466,true
25000,most ADJ common,ADJ,1.2280,0.8805,1.5755,13.8320,13.4481,14.2159,11.2638,2285,2285,true
25000,most ADJ important,ADJ,1.0264,0.9948,1.0580,13.6904,12.9577,14.4231,13.3383,2841,2841,true
25000,nbsp ADJ million,ADJ,0.9614,0.9242,0.9986,11.1112,10.9758,11.2466,11.5573,2061,2061,true
25000,north ADJ america,ADJ,0.7048,0.6928,0.7168,7.9758,7.7681,8.1835,11.3164,2530,2530,true
25000,other ADJ hand,ADJ,0.6946,0.6758,0.7134,13.7556,13.6772,13.8340,19.8036,2037,2037,true
25000,prime ADJ minister,ADJ,0.7274,0.5647,0.8901,6.0862,5.9712,6.2012,8.3671,2562,2562,true
25000,right ADJ thumb,ADJ,1.6682,1.4602,1.8762,21.5420,20.8572,22.2268,12.9133,2237,2237,true
25000,same ADJ time,ADJ,1.4922,1.2928,1.6916,16.0578,15.5405,16.5751,10.7612,3267,3267,true
25000,same ADJ year,ADJ,0.9598,0.8614,1.0582,13.3230,13.1207,13.5253,13.8810,2444,2444,true
25000,style ADJ text,ADJ,3.6324,3.5115,3.7533,14.8806,14.6640,15.0972,4.0966,2547,2547,true
25000,text ADJ align,ADJ,3.8662,3.8323,3.9001,13.5274,13.4715,13.5833,3.4989,2910,2910,true
25000,thumb ADJ left,ADJ,1.9516,1.9172,1.9860,18.0778,18.0128,18.1428,9.2631,4786,4786,true
25000,thumb ADJ right,ADJ,2.6088,2.5709,2.6467,36.3152,24.4066,48.2238,13.9203,6960,6960,true
25000,thumb ADJ upright,ADJ,1.8362,1.7365,1.9359,15.5108,15.3362,15.6854,8.4472,6234,6234,true
25000,took ADJ place,ADJ,0.7256,0.7012,0.7500,8.1974,8.1527,8.2421,11.2974,2729,2729,true
25000,united ADJ kingdom,ADJ,1.2880,1.2488,1.3272,11.6990,11.4233,11.9747,9.0831,4439,4439,true
25000,united ADJ nations,ADJ,0.9202,0.8693,0.9711,9.9532,9.8557,10.0507,10.8163,2075,2075,true
25000,united ADJ states,ADJ,2.7246,2.6431,2.8061,17.0690,16.8613,17.2767,6.2648,9889,9889,true
25000,university ADJ press,ADJ,0.8420,0.7625,0.9215,8.5998,8.4954,8.7042,10.2135,2856,2856,true
25000,voting ADJ rights,ADJ,0.1192,0.1078,0.1306,3.5010,3.4297,3.5723,29.3708,192,192,true
25000,well ADJ known,ADJ,1.0790,1.0446,1.1134,13.9610,13.7711,14.1509,12.9388,2635,2635,true
25000,wikitable ADJ sortable,ADJ,0.2868,0.2679,0.3057,4.1792,4.0816,4.2768,14.5718,2040,2040,true
25000,women ADJ rights,ADJ,0.1948,0.1849,0.2047,5.4788,5.2995,5.6581,28.1253,2,2,true
25000,years ADJ later,ADJ,1.2440,1.2126,1.2754,14.5608,14.3189,14.8027,11.7048,2826,2826,true
