corpus_name,docs,query,operator_type,rank_mode,backend,iterations,hits,avg_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,qps,alloc_bytes_per_query,allocs_per_query
wiki,5000,19th ADJ century,ADJ,bm25,mmap,3,1094,6.4003,5.5030,5.5030,5.2890,8.4090,156.2419,1585248,22850
wiki,5000,20th ADJ century,ADJ,bm25,mmap,3,1270,5.8537,5.6390,5.6390,5.6250,6.2970,170.8331,1622920,24017
wiki,5000,class ADJ wikitable,ADJ,bm25,mmap,3,1271,4.9047,4.3180,4.3180,4.1230,6.2730,203.8875,1310456,19772
wiki,5000,each ADJ other,ADJ,bm25,mmap,3,916,9.0757,8.1160,8.1160,8.1150,10.9960,110.1847,2251304,36990
wiki,5000,feminist ADJ movement,ADJ,bm25,mmap,3,6,1.4890,1.2580,1.2580,1.2500,1.9590,671.5917,597592,6610
wiki,5000,thumb ADJ left,ADJ,bm25,mmap,3,1108,9.2813,8.8530,8.8530,8.3100,10.6810,107.7431,2521808,35423
wiki,5000,thumb ADJ right,ADJ,bm25,mmap,3,1542,9.6273,9.6130,9.6130,9.5620,9.7070,103.8709,3071456,37760
wiki,5000,thumb ADJ upright,ADJ,bm25,mmap,3,1391,7.8583,7.5900,7.5900,7.3950,8.5900,127.2534,2210520,30526
wiki,5000,united ADJ states,ADJ,bm25,mmap,3,2057,9.1650,8.4400,8.4400,8.2380,10.8170,109.1107,2270304,31382
wiki,5000,voting ADJ rights,ADJ,bm25,mmap,3,40,1.4047,1.3550,1.3550,1.3030,1.5560,711.9127,621464,6057
wiki,5000,equality AND rights,AND,bm25,mmap,3,104,1.6210,1.4710,1.4710,1.4070,1.9850,616.9031,630608,6261
wiki,5000,female AND scientists,AND,bm25,mmap,3,91,1.6433,1.3190,1.3190,1.2820,2.3290,608.5193,600864,6557
wiki,5000,feminism AND women,AND,bm25,mmap,3,33,1.3393,1.3460,1.3460,1.3080,1.3640,746.6401,616496,5830
wiki,5000,feminist AND movement,AND,bm25,mmap,3,54,1.5413,1.3180,1.3180,1.2990,2.0070,648.7889,610264,6765
wiki,5000,women AND education,AND,bm25,mmap,3,440,2.9057,2.5890,2.5890,2.5210,3.6070,344.1551,923832,11756
wiki,5000,women AND rights,AND,bm25,mmap,3,409,2.5337,2.5160,2.5160,2.4880,2.5970,394.6849,906272,11207
wiki,5000,women AND science,AND,bm25,mmap,3,329,2.5887,2.5590,2.5590,2.5470,2.6600,386.2993,919229,12306
wiki,5000,women AND suffrage,AND,bm25,mmap,3,57,1.6257,1.4520,1.4520,1.4120,2.0130,615.1323,629077,6148
wiki,5000,women AND university,AND,bm25,mmap,3,671,4.1057,3.9560,3.9560,3.7580,4.6030,243.5658,1246632,17200
wiki,5000,women AND vote,AND,bm25,mmap,3,217,2.0637,1.9930,1.9930,1.8380,2.3600,484.5744,736400,8256
wiki,5000,back,BM25_TOPK,bm25,mmap,3,1962,2.7577,2.6770,2.6770,2.4930,3.1030,362.6254,705704,10120
wiki,5000,english,BM25_TOPK,bm25,mmap,3,1978,3.8643,3.5200,3.5200,3.3600,4.7130,258.7768,873088,10467
wiki,5000,feminism AND women,BM25_TOPK,bm25,mmap,3,33,1.5263,1.5440,1.5440,1.4850,1.5500,655.1649,616496,5830
wiki,5000,further,BM25_TOPK,bm25,mmap,3,1976,2.9557,2.7450,2.7450,2.6080,3.5140,338.3331,687704,10125
wiki,5000,important,BM25_TOPK,bm25,mmap,3,1970,3.0970,2.7270,2.7270,2.7240,3.8400,322.8931,700712,10129
wiki,5000,less,BM25_TOPK,bm25,mmap,3,1993,2.9553,2.8250,2.8250,2.6360,3.4050,338.3713,696216,10239
wiki,5000,period,BM25_TOPK,bm25,mmap,3,1996,3.2850,2.8780,2.8780,2.8750,4.1020,304.4140,737032,10344
wiki,5000,university,BM25_TOPK,bm25,mmap,3,1983,3.2223,3.2800,3.2800,3.0920,3.2950,310.3341,823744,10429
wiki,5000,women AND rights,BM25_TOPK,bm25,mmap,3,409,2.6587,2.6550,2.6550,2.6410,2.6800,376.1284,906272,11207
wiki,5000,women AND science,BM25_TOPK,bm25,mmap,3,329,2.7670,2.7730,2.7730,2.6670,2.8610,361.4022,919229,12306
wiki,5000,(feminism OR feminist) AND movement,COMPLEX,bm25,mmap,3,70,1.7020,1.6680,1.6680,1.6480,1.7900,587.5441,647184,7465
wiki,5000,(period OR english) AND NOT further,COMPLEX,bm25,mmap,3,1414,8.7223,8.7850,8.7850,8.1770,9.2050,114.6482,2528984,42474
wiki,5000,(period OR english) AND further,COMPLEX,bm25,mmap,3,1487,9.8657,9.8590,9.8590,9.8130,9.9250,101.3616,2684080,45623
wiki,5000,(period OR less) AND NOT university,COMPLEX,bm25,mmap,3,1411,8.8427,8.8950,8.8950,8.6650,8.9680,113.0881,2451045,42661
wiki,5000,(period OR less) AND university,COMPLEX,bm25,mmap,3,1442,9.6467,9.7020,9.7020,9.4830,9.7550,103.6628,2647800,45525
wiki,5000,(period OR university) AND NOT english,COMPLEX,bm25,mmap,3,1405,9.5847,9.5760,9.5760,9.4600,9.7180,104.3333,2665856,42828
wiki,5000,(period OR university) AND english,COMPLEX,bm25,mmap,3,1455,10.6350,10.5810,10.5810,10.5540,10.7700,94.0291,2924645,45765
wiki,5000,(women OR female) AND scientists,COMPLEX,bm25,mmap,3,171,3.4153,3.2840,3.2840,3.2840,3.6780,292.7972,1155976,16500
wiki,5000,(women OR feminism) AND rights,COMPLEX,bm25,mmap,3,410,3.4770,3.4770,3.4770,3.4050,3.5490,287.6043,1174328,14486
wiki,5000,women NEAR/3 rights AND NOT men,COMPLEX,bm25,mmap,3,20,4.0860,3.9060,3.9060,3.5400,4.8120,244.7381,1073160,17060
wiki,5000,20th NEAR/3 century,NEAR/3,bm25,mmap,3,1277,6.7517,6.5050,6.5050,6.2240,7.5260,148.1116,1623184,24031
wiki,5000,class NEAR/3 wikitable,NEAR/3,bm25,mmap,3,1280,5.0193,4.9760,4.9760,4.8660,5.2160,199.2296,1311216,19790
wiki,5000,female NEAR/3 scientists,NEAR/3,bm25,mmap,3,2,1.6200,1.5370,1.5370,1.4690,1.8540,617.2840,576448,6287
wiki,5000,thumb NEAR/3 right,NEAR/3,bm25,mmap,3,1875,12.1890,12.1610,12.1610,11.8320,12.5740,82.0412,3258800,38406
wiki,5000,thumb NEAR/3 upright,NEAR/3,bm25,mmap,3,1581,9.0613,9.1370,9.1370,8.8700,9.1770,110.3590,2237096,30872
wiki,5000,united NEAR/3 states,NEAR/3,bm25,mmap,3,2063,9.6567,9.7440,9.7440,9.3860,9.8400,103.5554,2271064,31394
wiki,5000,voting NEAR/3 rights,NEAR/3,bm25,mmap,3,40,1.6713,1.6590,1.6590,1.6460,1.7090,598.3247,621480,6057
wiki,5000,women NEAR/3 education,NEAR/3,bm25,mmap,3,17,2.5570,2.4950,2.4950,2.4060,2.7700,391.0833,821216,10844
wiki,5000,women NEAR/3 rights,NEAR/3,bm25,mmap,3,62,2.5550,2.5050,2.5050,2.4220,2.7380,391.3894,820581,10461
wiki,5000,women NEAR/3 science,NEAR/3,bm25,mmap,3,6,2.6590,2.6260,2.6260,2.5680,2.7830,376.0812,829821,11581
wiki,5000,feminism AND NOT anarchism,NOT,bm25,mmap,3,34,1.0790,0.7630,0.7630,0.7470,1.7270,926.7841,390528,441
wiki,5000,period AND NOT back,NOT,bm25,mmap,3,843,4.4457,4.2950,4.2950,4.2740,4.7680,224.9381,1164632,20282
wiki,5000,period AND NOT english,NOT,bm25,mmap,3,923,5.2860,5.3860,5.3860,5.0420,5.4300,189.1790,1331920,20627
wiki,5000,period AND NOT further,NOT,bm25,mmap,3,829,4.2853,4.2240,4.2240,4.1950,4.4370,233.3541,1147496,20305
wiki,5000,period AND NOT important,NOT,bm25,mmap,3,883,4.4507,4.5160,4.5160,4.2200,4.6160,224.6854,1161181,20323
wiki,5000,period AND NOT less,NOT,bm25,mmap,3,860,4.4137,4.3860,4.3860,4.3480,4.5070,226.5690,1155048,20399
wiki,5000,period AND NOT university,NOT,bm25,mmap,3,877,4.9677,5.0280,5.0280,4.7190,5.1560,201.3018,1284405,20627
wiki,5000,rights AND NOT copyright,NOT,bm25,mmap,3,871,2.4797,2.1370,2.1370,2.1290,3.1730,403.2800,687104,5612
wiki,5000,science AND NOT computer,NOT,bm25,mmap,3,808,3.4770,3.2430,3.2430,3.1750,4.0130,287.6043,905416,10600
wiki,5000,women AND NOT men,NOT,bm25,mmap,3,363,3.0497,3.1180,3.1180,2.8700,3.1610,327.9047,905237,12180
wiki,5000,period OR english,OR,bm25,mmap,3,2901,7.8697,7.8740,7.8740,7.6320,8.1030,127.0702,1912792,29683
wiki,5000,period OR further,OR,bm25,mmap,3,2805,6.9687,6.8770,6.8770,6.7330,7.2960,143.4995,1689520,29433
wiki,5000,period OR important,OR,bm25,mmap,3,2853,7.0073,7.0930,7.0930,6.8170,7.1120,142.7076,1705277,29375
wiki,5000,period OR less,OR,bm25,mmap,3,2853,7.1663,7.2970,7.2970,6.7690,7.4330,139.5414,1697944,29548
wiki,5000,period OR university,OR,bm25,mmap,3,2860,7.6220,7.5760,7.5760,7.5520,7.7380,131.1992,1865149,29713
