query,hits,topK,boolean_only_latency_ms,boolean_ci_low_ms,boolean_ci_high_ms,tfidf_latency_ms,tfidf_ci_low_ms,tfidf_ci_high_ms,bm25_latency_ms,bm25_ci_low_ms,bm25_ci_high_ms,tfidf_overhead_percent,bm25_overhead_percent,top1_doc_id_tfidf,top1_doc_id_bm25,top1_title_tfidf,top1_title_bm25
equality AND rights,807,10,0.4734,0.4389,0.5079,0.3758,0.2630,0.4886,0.8130,0.6600,0.9660,79.3832,171.7364,59635,10113,Equal Rights Amendment,Egalitarianism
female AND scientists,689,10,0.4590,0.4090,0.5090,0.3432,0.2540,0.4324,1.6546,-0.0676,3.3768,74.7712,360.4793,60670,60670,Lists of scientists,Lists of scientists
feminism AND women,285,10,0.3220,0.2817,0.3623,0.7420,-0.9385,2.4225,0.2552,0.1726,0.3378,230.4348,79.2547,11185,11185,Feminism,Feminism
feminist AND movement,532,10,1.0274,-0.7990,2.8538,0.3824,0.1113,0.6535,1.3936,-0.9374,3.7246,37.2202,135.6434,11185,11587,Feminism,Feminist theology
five AND back,8785,10,4.2208,2.1530,6.2886,8.0712,4.1138,12.0286,17.9796,12.0073,23.9519,191.2244,425.9761,27169,40748,San Francisco 49ers,Automatic callback
five AND book,7130,10,2.2278,1.7523,2.7033,3.5946,2.7120,4.4772,7.5264,6.5812,8.4716,161.3520,337.8400,10258,63097,Enid Blyton,National Book Award
five AND caption,8512,10,2.0342,1.8509,2.2175,4.4292,3.4568,5.4016,9.0844,8.3346,9.8342,217.7367,446.5834,16243,104544,Jawaharlal Nehru,"Five Points, Alabama"
five AND city,9972,10,3.8850,3.0738,4.6962,5.5112,4.8919,6.1305,10.6350,9.5485,11.7215,141.8584,273.7452,50585,97137,Philadelphia,"Five Points, Manhattan"
five AND country,8657,10,3.0758,1.3692,4.7824,4.8884,3.4996,6.2772,13.0696,0.8079,25.3313,158.9310,424.9171,25645,4405,Rwanda,Biathlon
five AND death,8108,10,2.4602,1.7026,3.2178,4.7952,3.9844,5.6060,9.5290,7.8820,11.1760,194.9110,387.3262,83496,78345,Capital punishment by country,Louis X of France
five AND described,7040,10,1.7514,1.5797,1.9231,4.7522,3.2082,6.2962,7.7992,6.9723,8.6261,271.3372,445.3123,24780,69748,Five precepts,Molten Sea
five AND developed,7155,10,1.8384,1.7202,1.9566,4.0982,3.8153,4.3811,7.6534,7.4484,7.8584,222.9221,416.3077,3846,30877,Banjo,Tékumel
five AND development,7079,10,3.1664,1.8551,4.4777,5.4040,3.7970,7.0110,9.4650,6.6864,12.2436,170.6670,298.9199,67539,7492,Foreign relations of Australia,Capability Maturity Model
five AND down,8096,10,3.8148,0.7261,6.9035,4.6812,2.7547,6.6077,8.1456,6.7861,9.5051,122.7115,213.5263,63995,69743,Professional wrestling match types,Spit (card game)
five AND either,6865,10,2.5988,1.6360,3.5616,5.4490,4.0355,6.8625,11.9052,4.9086,18.9018,209.6737,458.1037,63995,24782,Professional wrestling match types,Pente
five AND established,9198,10,3.5756,0.7770,6.3742,5.4528,2.6759,8.2297,9.5308,6.3287,12.7329,152.5003,266.5511,67539,63097,Foreign relations of Australia,National Book Award
five AND family,8545,10,3.0360,1.2191,4.8529,4.8722,4.4037,5.3407,10.3420,8.0613,12.6227,160.4809,340.6456,10258,83931,Enid Blyton,The Chronicles of Amber
five AND former,8665,10,2.6444,2.2423,3.0465,4.9886,3.6201,6.3571,9.7770,7.4109,12.1431,188.6477,369.7247,30837,58079,Tampa Bay Buccaneers,Five Dynasties and Ten Kingdoms period
five AND further,8129,10,2.0878,1.9331,2.2425,4.3494,3.9162,4.7826,7.9102,6.7495,9.0709,208.3246,378.8773,29482,29482,Stayman convention,Stayman convention
