corpus_name,docs,query,operator_type,rank_mode,backend,iterations,hits,avg_latency_ms,avg_latency_ci_low_ms,avg_latency_ci_high_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,qps,qps_ci_low,qps_ci_high,alloc_bytes_per_query,allocs_per_query
wiki,417728,17th ADJ century,ADJ,bm25,mmap-shards,5,14410,35.5684,19.6820,51.4548,28.8190,48.6770,24.0000,50.2190,28.1148,19.4345,50.8077,60639105,906290
wiki,417728,18th ADJ century,ADJ,bm25,mmap-shards,5,19169,28.1250,25.6842,30.5658,28.8490,28.9420,24.7280,29.7630,35.5556,32.7163,38.9345,62510956,941409
wiki,417728,19th ADJ century,ADJ,bm25,mmap-shards,5,42812,34.6874,31.4382,37.9366,35.0840,36.0460,31.0990,37.9320,28.8289,26.3598,31.8084,72048380,1105819
wiki,417728,20th ADJ century,ADJ,bm25,mmap-shards,5,70969,37.5814,33.2063,41.9565,39.4360,39.9300,31.8130,40.1280,26.6089,23.8342,30.1148,83163246,1304386
wiki,417728,21st ADJ century,ADJ,bm25,mmap-shards,5,29875,27.7554,22.9435,32.5673,28.6990,30.2550,21.9980,31.8390,36.0290,30.7057,43.5853,65414265,1001986
wiki,417728,align ADJ center,ADJ,bm25,mmap-shards,5,44875,51.3524,26.8320,75.8728,43.0400,45.7450,40.1170,86.4830,19.4733,13.1799,37.2690,160106116,1047040
wiki,417728,best ADJ known,ADJ,bm25,mmap-shards,5,20557,41.5490,19.8934,63.2046,35.8370,44.1840,26.5630,70.4530,24.0680,15.8216,50.2680,76406884,1408190
wiki,417728,birth ADJ date,ADJ,bm25,mmap-shards,5,72486,28.5312,27.5753,29.4871,28.4110,28.4960,27.6650,29.7780,35.0493,33.9132,36.2643,85046881,1436148
wiki,417728,birth ADJ name,ADJ,bm25,mmap-shards,5,37734,43.1088,24.8663,61.3513,34.3660,48.2100,32.4450,66.7720,23.1971,16.2996,40.2150,99859817,1934287
wiki,417728,birth ADJ place,ADJ,bm25,mmap-shards,5,70174,34.0042,27.4854,40.5230,31.4740,35.6160,29.2790,42.4400,29.4081,24.6774,36.3829,84479438,1422133
wiki,417728,births ADJ category,ADJ,bm25,mmap-shards,5,83931,48.1920,45.4257,50.9583,47.8410,49.7330,45.5620,51.0810,20.7503,19.6239,22.0140,173169536,2589482
wiki,417728,category ADJ 20th,ADJ,bm25,mmap-shards,5,42549,42.1764,39.0777,45.2751,40.8920,44.3770,39.6200,45.2930,23.7099,22.0872,25.5901,169679432,2453506
wiki,417728,category ADJ people,ADJ,bm25,mmap-shards,5,50320,56.4322,37.4415,75.4229,50.1520,50.6220,48.1870,83.7470,17.7204,13.2586,26.7083,198245142,3084163
wiki,417728,class ADJ wikitable,ADJ,bm25,mmap-shards,5,81801,28.9172,25.6278,32.2066,28.2600,28.6700,26.6360,33.4520,34.5815,31.0495,39.0201,85001214,1214649
wiki,417728,date ADJ birth,ADJ,bm25,mmap-shards,5,61184,34.1616,14.9864,53.3368,25.7400,36.5830,23.6800,60.1760,29.2726,18.7488,66.7272,82043961,1413627
wiki,417728,date ADJ death,ADJ,bm25,mmap-shards,5,49772,27.3508,25.5665,29.1351,26.9870,28.2940,25.9040,29.3290,36.5620,34.3229,39.1136,83737774,1493553
wiki,417728,death ADJ date,ADJ,bm25,mmap-shards,5,56855,35.7322,17.4199,54.0445,28.3850,37.0620,25.4120,60.8510,27.9860,18.5033,57.4058,85890145,1507673
wiki,417728,death ADJ place,ADJ,bm25,mmap-shards,5,54230,27.2162,26.1824,28.2500,27.3570,27.7950,26.3560,28.2000,36.7428,35.3983,38.1936,85738256,1493101
wiki,417728,deaths ADJ category,ADJ,bm25,mmap-shards,5,56366,52.8188,23.6567,81.9809,42.3890,44.0780,41.3370,94.7940,18.9327,12.1980,42.2714,161063332,2438400
wiki,417728,each ADJ other,ADJ,bm25,mmap-shards,5,23777,46.4290,22.5566,70.3014,39.6940,40.7010,35.2600,80.5710,21.5383,14.2245,44.3330,96930912,1841614
wiki,417728,even ADJ though,ADJ,bm25,mmap-shards,5,14852,22.3542,20.4162,24.2922,22.1060,22.2420,21.1870,25.0080,44.7343,41.1655,48.9807,53514315,840591
wiki,417728,female ADJ scientists,ADJ,bm25,mmap-shards,5,50,18.9334,6.6625,31.2043,15.1500,17.3550,12.0410,36.2720,52.8167,32.0469,150.0932,37338849,392403
wiki,417728,feminist ADJ movement,ADJ,bm25,mmap-shards,5,261,10.3396,8.9308,11.7484,10.7920,11.0310,8.9490,11.5820,96.7155,85.1177,111.9725,33124924,242703
wiki,417728,first ADJ time,ADJ,bm25,mmap-shards,5,29578,58.0234,34.2298,81.8170,52.3030,52.7380,44.4910,91.7920,17.2344,12.2224,29.2143,129781953,2330103
